beta,sigma,ramp_data_ramp_bf,ramp_data_step_bf,m,r,step_data_ramp_bf,step_data_step_bf,ML_LLR_step,ML_LLR_ramp
2.571428571428571,1.4910374881259758,-891.0808654713462,-896.738723826706,46.42857142857143,1.0,-767.8342902940426,-763.7952134255181,-1.5367774,4.950103
0.5714285714285714,2.8787426920046064,-872.7071024103466,-878.2559779941394,53.57142857142857,1.0,-743.1689543169906,-739.8849000760229,2.3038871,2.6380968
3.4285714285714284,2.071789871692484,-898.192603920082,-903.1591624525199,35.714285714285715,1.0,-849.3228337560103,-848.2724114603835,-1.274461,2.7618043
0.2857142857142857,0.39999999999999997,-789.1333659060681,-785.2533717245192,53.57142857142857,1.0,-818.8700295290505,-816.074312534728,-3.1851854,-2.9894474
2.8571428571428568,2.071789871692484,-855.1221112339482,-856.5304161353502,50.0,2.0,-770.544730447334,-768.2836276822353,-5.587405,-0.42063653
2.2857142857142856,2.071789871692484,-842.0871158991802,-841.68586028884,28.571428571428573,2.0,-817.9887645206236,-812.7436899794438,-1.534251,-0.2882281
1.4285714285714284,0.39999999999999997,-862.6307462067335,-863.5656018452122,46.42857142857143,1.0,-931.5959744072331,-933.361400370029,4.906205,2.4398775
2.2857142857142856,2.071789871692484,-870.2848548881265,-870.9338390960465,53.57142857142857,1.0,-815.4208920661072,-812.7252292138368,-0.6764853,0.7052767
0.5714285714285714,0.1491037488125976,-782.1161878547946,-781.0558084161202,53.57142857142857,2.0,-743.7077898298677,-738.0966153836829,-3.3363726,-3.253832
4.0,2.8787426920046064,-859.2139611819538,-861.374197071906,60.714285714285715,2.0,-730.3146047848799,-728.1086582427557,-1.8440561,-0.56000924
2.2857142857142856,0.7722790915532998,-884.3643128505936,-889.4809191798442,57.142857142857146,1.0,-751.1188738662099,-745.9848847699969,-3.0651667,4.3017983
1.7142857142857142,1.0730783181118897,-865.0145973621267,-864.5618279930561,42.85714285714286,2.0,-807.3261962430278,-802.4914057120426,0.30596113,0.81838083
2.0,1.0730783181118897,-882.900814487004,-886.473135574868,32.142857142857146,2.0,-837.3507898053682,-834.5243972808711,2.4841194,3.5505295
2.0,0.2071789871692484,-888.7043241997876,-893.6939012713146,57.142857142857146,2.0,-780.0639986463935,-774.0813470684807,-4.1005883,6.0721436
1.7142857142857142,0.10730783181118905,-876.6474041408845,-878.7315951310962,57.142857142857146,1.0,-841.1034312312884,-838.0989236375191,-0.5289662,4.675396
3.4285714285714284,0.04000000000000001,-873.2344990130263,-876.7600106561543,35.714285714285715,2.0,-838.0988190032602,-837.1243173374561,1.5736523,1.0827844
2.8571428571428568,0.1491037488125976,-933.0780623901994,-939.1537168342559,42.85714285714286,1.0,-830.1251039315597,-828.4525983028744,1.2182397,3.0033154
2.2857142857142856,0.7722790915532998,-866.3227812877399,-867.6203652857229,64.28571428571428,1.0,-797.4330925324062,-792.3957603628368,-2.3027825,3.1570373
0.8571428571428571,1.4910374881259758,-857.1860511166064,-862.3497267577503,50.0,3.0,-787.6009342027792,-785.2085496233572,0.59852797,2.4974122
0.8571428571428571,0.7722790915532998,-817.1892120181137,-818.8502826714347,50.0,2.0,-817.9998665269424,-815.3385931501064,0.4453379,1.2530024
2.8571428571428568,2.8787426920046064,-870.519432733128,-872.753468104622,50.0,1.0,-802.5045973452028,-800.8765972301895,-1.0858445,3.4807801
3.4285714285714284,2.071789871692484,-871.9326522013221,-875.5182045406402,64.28571428571428,2.0,-758.6846357645803,-753.53778965276,1.6991765,3.5527508
